gene	npas	pval	RLDu	RLDi	REDu	REDu.pval	REDi	REDi.pval	nread.c1.1	nread.c2.1
Bmp2	2	1	0	NA	0	1	NA	NA	907	907
Plcb1	3	1	0	0	0	1	0	1	12932	12932
Snap25	2	1	0	NA	0	1	NA	NA	180308	180308
Slx4ip	3	1	0	NA	0	1	NA	NA	449	449
Btbd3	3	1	0	NA	0	1	NA	NA	1386	1386
Macrod2	3	1	NA	0	NA	NA	0	1	5218	5218
Snrpb2	3	1	0	0	0	1	0	1	8347	8347
Pcsk2	2	1	0	NA	0	1	NA	NA	11450	11450
Mgme1	2	1	0	NA	0	1	NA	NA	1070	1070
Polr3f	3	1	0	NA	0	1	NA	NA	1471	1471
Slc24a3	2	1	0	NA	0	1	NA	NA	5735	5735
Cfap61	2	1	NA	NA	NA	NA	NA	NA	97	97
Insm1	2	1	0	NA	0	1	NA	NA	2173	2173
Kiz	2	1	NA	0	NA	NA	0	1	2781	2781
Nkx2-2os	2	1	NA	NA	NA	NA	NA	NA	1308	1308
Sstr4	2	1	0	NA	0	1	NA	NA	1511	1511
Gzf1	2	1	0	NA	0	1	NA	NA	5491	5491
Syndig1	2	1	0	NA	0	1	NA	NA	1709	1709
Zfp937	4	1	0	NA	0	1	NA	NA	616	616
Pygb	2	1	0	NA	0	1	NA	NA	13261	13261
Fkbp1a	3	1	0	NA	0	1	NA	NA	77450	77450
Tmem74b	2	1	0	NA	0	1	NA	NA	367	367
Slc52a3	2	1	0	NA	0	1	NA	NA	253	253
Scrt2	3	1	0	NA	0	1	NA	NA	1703	1703
Srxn1	3	1	0	NA	0	1	NA	NA	15567	15567
Csnk2a1	5	1	0	NA	0	1	NA	NA	8413	8413
Gm14164	2	1	NA	NA	NA	NA	NA	NA	1391	1391
6820408C15Rik	2	1	NA	0	NA	NA	0	1	1189	1189
Rem1	2	1	0	NA	0	1	NA	NA	57	57
H13	3	1	NA	0	NA	NA	0	1	12723	12723
Mcts2	2	1	0	NA	0	1	NA	NA	5705	5705
Tpx2	2	1	0	NA	0	1	NA	NA	201	201
Tm9sf4	2	1	NA	0	NA	NA	0	1	5063	5063
Pofut1	2	1	0	NA	0	1	NA	NA	1383	1383
Kif3b	2	1	0	NA	0	1	NA	NA	2471	2471
Asxl1	2	1	0	NA	0	1	NA	NA	2302	2302
Mapre1	4	1	0	NA	0	1	NA	NA	11548	11548
Chmp4b	4	1	0	0	0	1	0	1	7881	7881
Acss2	5	1	0	0	0	1	0	1	2984	2984
Procr	2	1	0	NA	0	1	NA	NA	168	168
Mmp24	2	1	0	NA	0	1	NA	NA	7126	7126
Cep250	2	1	NA	0	NA	NA	0	1	961	961
Ergic3	2	1	0	NA	0	1	NA	NA	28519	28519
Spag4	2	1	0	NA	0	1	NA	NA	285	285
Romo1	2	1	0	NA	0	1	NA	NA	52324	52324
Phf20	2	1	0	NA	0	1	NA	NA	4514	4514
Cnbd2	3	1	NA	NA	NA	NA	NA	NA	6592	6592
Epb41l1	2	1	0	NA	0	1	NA	NA	11792	11792
Aar2	2	1	0	NA	0	1	NA	NA	5439	5439
Dlgap4	3	1	0	NA	0	1	NA	NA	18562	18562
Rpn2	2	1	0	NA	0	1	NA	NA	16430	16430
Nnat	2	1	0	NA	0	1	NA	NA	43227	43227
Ctnnbl1	3	1	0	NA	0	1	NA	NA	3310	3310
Rprd1b	3	1	0	NA	0	1	NA	NA	2955	2955
Snhg11	2	1	0	NA	0	1	NA	NA	36242	36242
Ralgapb	3	1	0	0	0	1	0	1	6414	6414
Actr5	2	1	0	NA	0	1	NA	NA	1009	1009
Top1	3	1	0	NA	0	1	NA	NA	7741	7741
Plcg1	2	1	NA	0	NA	NA	0	1	3204	3204
9430021M05Rik	3	1	0	0	0	1	0	1	1769	1769
Srsf6	3	1	0	NA	0	1	NA	NA	9611	9611
Ift52	2	1	0	NA	0	1	NA	NA	2059	2059
Gdap1l1	2	1	0	NA	0	1	NA	NA	8268	8268
Ywhab	3	1	0	NA	0	1	NA	NA	44597	44597
Stk4	2	1	0	NA	0	1	NA	NA	2002	2002
Sys1	2	1	0	NA	0	1	NA	NA	35913	35913
Dnttip1	2	1	0	NA	0	1	NA	NA	12344	12344
Snx21	2	1	0	NA	0	1	NA	NA	12948	12948
Pcif1	3	1	0	0	0	1	0	1	21447	21447
Zfp335os	3	1	NA	0	NA	NA	0	1	2629	2629
Mmp9	2	1	0	NA	0	1	NA	NA	109	109
Cd40	2	1	0	NA	0	1	NA	NA	151	151
Ncoa3	3	1	0	NA	0	1	NA	NA	2005	2005
Trp53rkb	3	1	0	0	0	1	0	1	3014	3014
Arfgef2	3	1	0	NA	0	1	NA	NA	3986	3986
Cse1l	2	1	0	NA	0	1	NA	NA	6155	6155
Gm17096	2	1	0	NA	0	1	NA	NA	193	193
Ddx27	2	1	0	NA	0	1	NA	NA	2127	2127
1110018N20Rik	3	1	0	0	0	1	0	1	885	885
Slc9a8	2	1	0	NA	0	1	NA	NA	2516	2516
Rnf114	2	1	NA	0	NA	NA	0	1	12581	12581
Ptpn1	2	1	0	NA	0	1	NA	NA	4254	4254
Fam210b	4	1	0	NA	0	1	NA	NA	3463	3463
Cstf1	2	1	0	NA	0	1	NA	NA	3298	3298
Rtfdc1	3	1	0	0	0	1	0	1	10289	10289
Rab22a	3	1	0	0	0	1	0	1	4895	4895
Vapb	4	1	0	NA	0	1	NA	NA	7660	7660
Stx16	3	1	0	NA	0	1	NA	NA	3299	3299
Zfp831	3	1	0	NA	0	1	NA	NA	287	287
Edn3	3	1	0	NA	0	1	NA	NA	533	533
Gm14401	2	1	NA	0	NA	NA	0	1	438	438
Zfp970	4	1	0	0	0	1	0	1	1260	1260
Gm14322	2	1	0	NA	0	1	NA	NA	2260	2260
Zfp971	4	1	0	0	0	1	0	1	661	661
Phactr3	2	1	0	NA	0	1	NA	NA	12111	12111
Fam217b	2	1	0	NA	0	1	NA	NA	3619	3619
Cdh4	2	1	0	NA	0	1	NA	NA	4251	4251
4921531C22Rik	5	1	0	0	0	1	0	1	395	395
Lsm14b	2	1	0	NA	0	1	NA	NA	3537	3537
Ss18l1	2	1	0	NA	0	1	NA	NA	3251	3251
Osbpl2	2	1	0	NA	0	1	NA	NA	7967	7967
Rps21	3	1	NA	NA	NA	NA	NA	NA	277841	277841
Col9a3	4	1	0	NA	0	1	NA	NA	2457	2457
Gid8	3	1	0	NA	0	1	NA	NA	12617	12617
Arfgap1	3	1	0	NA	0	1	NA	NA	5812	5812
